experiment,timestamp,count,precision,recall,f1,exact_match_rate,exact_matches,missing_in_gold,path
exp6_agent_only_schema_gpt4_20,2026-02-19_22-13-09,20,0.1,0.1,0.1,0.1,2,0,outputs\exp6_agent_only_schema_gpt4_20\2026-02-19_22-13-09\gerbil_test.json
exp5_3samples_llama_394,2026-02-18_11-47-30,394,0.0964,0.0964,0.0964,0.0964,38,0,outputs\exp5_3samples_llama_394\2026-02-18_11-47-30\gerbil_test.json
exp5_3samples_gpt4mini_394,2026-02-18_10-11-44,394,0.0914,0.0914,0.0914,0.0914,36,0,outputs\exp5_3samples_gpt4mini_394\2026-02-18_10-11-44\gerbil_test.json
exp5_5samples_gpt4mini_394,2026-02-18_10-18-28,394,0.0914,0.0914,0.0914,0.0914,36,0,outputs\exp5_5samples_gpt4mini_394\2026-02-18_10-18-28\gerbil_test.json
exp5_5samples_llama_394,2026-02-18_12-07-40,394,0.0914,0.0914,0.0914,0.0914,36,0,outputs\exp5_5samples_llama_394\2026-02-18_12-07-40\gerbil_test.json
exp6_agent_fast_gpt4_20,2026-02-19_22-23-54,20,0.05,0.05,0.05,0.05,1,0,outputs\exp6_agent_fast_gpt4_20\2026-02-19_22-23-54\gerbil_test.json
exp1_cot_gpt4mini,2026-02-09_17-51-40,30,0.0333,0.0333,0.0333,0.0333,1,0,outputs\exp1_cot_gpt4mini\2026-02-09_17-51-40\gerbil_test.json
exp1_decomp_gpt4_100,2026-02-11_21-04-48,100,0.01,0.01,0.01,0.01,1,0,outputs\exp1_decomp_gpt4_100\2026-02-11_21-04-48\gerbil_test.json
exp1_cot_gpt4_394,2026-02-17_17-08-54,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp1_cot_gpt4_394\2026-02-17_17-08-54\gerbil_test.json
exp1_cot_gpt4mini_394,2026-02-17_16-45-14,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp1_cot_gpt4mini_394\2026-02-17_16-45-14\gerbil_test.json
exp1_cot_llama_394,2026-02-17_17-32-04,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp1_cot_llama_394\2026-02-17_17-32-04\gerbil_test.json
exp1_decomp_gpt4_394,2026-02-17_17-15-16,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp1_decomp_gpt4_394\2026-02-17_17-15-16\gerbil_test.json
exp1_decomp_gpt4mini_394,2026-02-17_16-51-17,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp1_decomp_gpt4mini_394\2026-02-17_16-51-17\gerbil_test.json
exp1_decomp_llama_394,2026-02-17_17-46-54,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp1_decomp_llama_394\2026-02-17_17-46-54\gerbil_test.json
exp1_standard_gpt4_394,2026-02-17_17-02-10,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp1_standard_gpt4_394\2026-02-17_17-02-10\gerbil_test.json
exp1_standard_gpt4mini_394,2026-02-17_16-39-44,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp1_standard_gpt4mini_394\2026-02-17_16-39-44\gerbil_test.json
exp1_standard_llama_394,2026-02-17_17-21-04,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp1_standard_llama_394\2026-02-17_17-21-04\gerbil_test.json
exp2_nolink_gpt4_394,2026-02-17_18-33-59,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp2_nolink_gpt4_394\2026-02-17_18-33-59\gerbil_test.json
exp2_nolink_gpt4mini_394,2026-02-17_18-20-12,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp2_nolink_gpt4mini_394\2026-02-17_18-20-12\gerbil_test.json
exp2_nolink_llama_394,2026-02-17_18-49-04,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp2_nolink_llama_394\2026-02-17_18-49-04\gerbil_test.json
exp2_rebel_gpt4_394,2026-02-17_18-27-27,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp2_rebel_gpt4_394\2026-02-17_18-27-27\gerbil_test.json
exp2_rebel_gpt4mini_394,2026-02-17_18-06-36,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp2_rebel_gpt4mini_394\2026-02-17_18-06-36\gerbil_test.json
exp2_rebel_llama_394,2026-02-17_18-37-09,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp2_rebel_llama_394\2026-02-17_18-37-09\gerbil_test.json
exp3_nocorrect_gpt4mini_394,2026-02-19_09-25-28,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp3_nocorrect_gpt4mini_394\2026-02-19_09-25-28\gerbil_test.json
exp4_0shot_gpt4_394,2026-02-17_21-17-08,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_0shot_gpt4_394\2026-02-17_21-17-08\gerbil_test.json
exp4_0shot_gpt4mini_394,2026-02-17_18-57-36,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_0shot_gpt4mini_394\2026-02-17_18-57-36\gerbil_test.json
exp4_0shot_llama_394,2026-02-17_22-28-53,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_0shot_llama_394\2026-02-17_22-28-53\gerbil_test.json
exp4_1shot_gpt4mini_394,2026-02-17_19-03-09,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_1shot_gpt4mini_394\2026-02-17_19-03-09\gerbil_test.json
exp4_1shot_llama_394,2026-02-18_09-07-53,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_1shot_llama_394\2026-02-18_09-07-53\gerbil_test.json
exp4_3shot_gpt4_394,2026-02-17_21-47-02,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_3shot_gpt4_394\2026-02-17_21-47-02\gerbil_test.json
exp4_3shot_gpt4mini_394,2026-02-17_19-29-23,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_3shot_gpt4mini_394\2026-02-17_19-29-23\gerbil_test.json
exp4_3shot_llama_394,2026-02-18_09-18-23,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_3shot_llama_394\2026-02-18_09-18-23\gerbil_test.json
exp4_5shot_gpt4_394,2026-02-17_22-22-24,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_5shot_gpt4_394\2026-02-17_22-22-24\gerbil_test.json
exp4_5shot_gpt4mini_394,2026-02-17_19-37-14,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_5shot_gpt4mini_394\2026-02-17_19-37-14\gerbil_test.json
exp4_5shot_llama_394,2026-02-18_09-39-00,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp4_5shot_llama_394\2026-02-18_09-39-00\gerbil_test.json
exp5_1sample_gpt4mini_394,2026-02-18_09-48-58,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp5_1sample_gpt4mini_394\2026-02-18_09-48-58\gerbil_test.json
exp5_1sample_llama_394,2026-02-18_11-21-11,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp5_1sample_llama_394\2026-02-18_11-21-11\gerbil_test.json
exp7_full_gpt4_394,2026-02-18_14-03-18,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_full_gpt4_394\2026-02-18_14-03-18\gerbil_test.json
exp7_full_gpt4mini_394,2026-02-18_13-46-29,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_full_gpt4mini_394\2026-02-18_13-46-29\gerbil_test.json
exp7_full_llama_394,2026-02-18_14-45-54,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_full_llama_394\2026-02-18_14-45-54\gerbil_test.json
exp7_full_llama_394,2026-02-18_20-44-49,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_full_llama_394\2026-02-18_20-44-49\gerbil_test.json
exp7_linker_only_gpt4mini_394,2026-02-18_13-24-47,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_linker_only_gpt4mini_394\2026-02-18_13-24-47\gerbil_test.json
exp7_linker_only_llama_394,2026-02-18_14-30-11,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_linker_only_llama_394\2026-02-18_14-30-11\gerbil_test.json
exp7_linker_rag_gpt4mini_394,2026-02-18_13-32-01,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_linker_rag_gpt4mini_394\2026-02-18_13-32-01\gerbil_test.json
exp7_linker_schema_gpt4mini_394,2026-02-18_13-37-58,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_linker_schema_gpt4mini_394\2026-02-18_13-37-58\gerbil_test.json
exp7_pure_gpt4_394,2026-02-18_13-53-01,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_pure_gpt4_394\2026-02-18_13-53-01\gerbil_test.json
exp7_pure_gpt4mini_394,2026-02-18_13-23-57,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_pure_gpt4mini_394\2026-02-18_13-23-57\gerbil_test.json
exp7_pure_llama_394,2026-02-18_14-21-12,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_pure_llama_394\2026-02-18_14-21-12\gerbil_test.json
exp7_rag_only_gpt4mini_394,2026-02-18_13-30-34,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_rag_only_gpt4mini_394\2026-02-18_13-30-34\gerbil_test.json
exp7_rag_only_llama_394,2026-02-18_14-40-06,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_rag_only_llama_394\2026-02-18_14-40-06\gerbil_test.json
exp7_schema_only_gpt4mini_394,2026-02-18_13-31-26,394,0.0025,0.0025,0.0025,0.0025,1,0,outputs\exp7_schema_only_gpt4mini_394\2026-02-18_13-31-26\gerbil_test.json
exp1_cot_gpt4_100,2026-02-11_20-52-40,100,0.0,0.0,0.0,0.0,0,0,outputs\exp1_cot_gpt4_100\2026-02-11_20-52-40\gerbil_test.json
exp1_cot_gpt4mini_100,2026-02-11_18-02-40,100,0.0,0.0,0.0,0.0,0,0,outputs\exp1_cot_gpt4mini_100\2026-02-11_18-02-40\gerbil_test.json
exp1_cot_llama_100,2026-02-11_22-13-38,100,0.0,0.0,0.0,0.0,0,0,outputs\exp1_cot_llama_100\2026-02-11_22-13-38\gerbil_test.json
exp1_decomp_gpt4mini,2026-02-09_17-54-55,30,0.0,0.0,0.0,0.0,0,0,outputs\exp1_decomp_gpt4mini\2026-02-09_17-54-55\gerbil_test.json
exp1_decomp_gpt4mini_100,2026-02-11_20-28-19,100,0.0,0.0,0.0,0.0,0,0,outputs\exp1_decomp_gpt4mini_100\2026-02-11_20-28-19\gerbil_test.json
exp1_decomp_llama_100,2026-02-11_22-25-57,100,0.0,0.0,0.0,0.0,0,0,outputs\exp1_decomp_llama_100\2026-02-11_22-25-57\gerbil_test.json
exp1_standard_gpt4_100,2026-02-11_20-42-15,100,0.0,0.0,0.0,0.0,0,0,outputs\exp1_standard_gpt4_100\2026-02-11_20-42-15\gerbil_test.json
exp1_standard_gpt4mini,2026-02-09_17-12-46,30,0.0,0.0,0.0,0.0,0,0,outputs\exp1_standard_gpt4mini\2026-02-09_17-12-46\gerbil_test.json
exp1_standard_gpt4mini,2026-02-09_17-28-32,30,0.0,0.0,0.0,0.0,0,0,outputs\exp1_standard_gpt4mini\2026-02-09_17-28-32\gerbil_test.json
exp1_standard_gpt4mini,2026-02-09_17-35-30,30,0.0,0.0,0.0,0.0,0,0,outputs\exp1_standard_gpt4mini\2026-02-09_17-35-30\gerbil_test.json
exp1_standard_gpt4mini_100,2026-02-11_17-31-12,100,0.0,0.0,0.0,0.0,0,0,outputs\exp1_standard_gpt4mini_100\2026-02-11_17-31-12\gerbil_test.json
exp1_standard_gpt4mini_100,2026-02-11_17-49-23,100,0.0,0.0,0.0,0.0,0,0,outputs\exp1_standard_gpt4mini_100\2026-02-11_17-49-23\gerbil_test.json
exp1_standard_llama_100,2026-02-11_22-03-08,100,0.0,0.0,0.0,0.0,0,0,outputs\exp1_standard_llama_100\2026-02-11_22-03-08\gerbil_test.json
exp2_rebel_gpt4mini_100,2026-02-13_18-39-36,100,0.0,0.0,0.0,0.0,0,0,outputs\exp2_rebel_gpt4mini_100\2026-02-13_18-39-36\gerbil_test.json
exp3_nocorrect_gpt4mini_100,2026-02-11_22-40-18,100,0.0,0.0,0.0,0.0,0,0,outputs\exp3_nocorrect_gpt4mini_100\2026-02-11_22-40-18\gerbil_test.json
exp4_0shot_gpt4_100,2026-02-13_12-46-23,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_0shot_gpt4_100\2026-02-13_12-46-23\gerbil_test.json
exp4_0shot_llama_100,2026-02-13_14-03-45,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_0shot_llama_100\2026-02-13_14-03-45\gerbil_test.json
exp4_1shot_gpt4_100,2026-02-13_13-09-17,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_1shot_gpt4_100\2026-02-13_13-09-17\gerbil_test.json
exp4_1shot_gpt4mini_100,2026-02-12_09-00-37,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_1shot_gpt4mini_100\2026-02-12_09-00-37\gerbil_test.json
exp4_1shot_gpt4mini_100,2026-02-12_09-20-11,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_1shot_gpt4mini_100\2026-02-12_09-20-11\gerbil_test.json
exp4_1shot_gpt4mini_100,2026-02-12_10-40-57,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_1shot_gpt4mini_100\2026-02-12_10-40-57\gerbil_test.json
exp4_1shot_gpt4mini_100,2026-02-12_12-33-00,1,0.0,0.0,0.0,0.0,0,0,outputs\exp4_1shot_gpt4mini_100\2026-02-12_12-33-00\gerbil_test.json
exp4_1shot_gpt4mini_100,2026-02-12_12-36-03,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_1shot_gpt4mini_100\2026-02-12_12-36-03\gerbil_test.json
exp4_1shot_gpt4mini_100,2026-02-13_12-08-30,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_1shot_gpt4mini_100\2026-02-13_12-08-30\gerbil_test.json
exp4_1shot_llama_100,2026-02-13_15-02-54,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_1shot_llama_100\2026-02-13_15-02-54\gerbil_test.json
exp4_3shot_gpt4_100,2026-02-13_13-51-06,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_3shot_gpt4_100\2026-02-13_13-51-06\gerbil_test.json
exp4_3shot_gpt4mini_100,2026-02-13_12-29-51,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_3shot_gpt4mini_100\2026-02-13_12-29-51\gerbil_test.json
exp4_3shot_llama_100,2026-02-13_15-39-03,100,0.0,0.0,0.0,0.0,0,0,outputs\exp4_3shot_llama_100\2026-02-13_15-39-03\gerbil_test.json
exp5_1sample_gpt4_100,2026-02-13_17-46-55,100,0.0,0.0,0.0,0.0,0,0,outputs\exp5_1sample_gpt4_100\2026-02-13_17-46-55\gerbil_test.json
exp5_1sample_gpt4mini_100,2026-02-13_09-59-56,100,0.0,0.0,0.0,0.0,0,0,outputs\exp5_1sample_gpt4mini_100\2026-02-13_09-59-56\gerbil_test.json
exp5_1sample_llama_100,2026-02-13_18-16-24,100,0.0,0.0,0.0,0.0,0,0,outputs\exp5_1sample_llama_100\2026-02-13_18-16-24\gerbil_test.json
exp6_agent_blind_mini_20,2026-02-19_21-50-10,20,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agent_blind_mini_20\2026-02-19_21-50-10\gerbil_test.json
exp6_agent_budget5_mini_20,2026-02-19_22-02-07,20,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agent_budget5_mini_20\2026-02-19_22-02-07\gerbil_test.json
exp6_agent_full_llama_20,2026-02-19_21-46-08,20,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agent_full_llama_20\2026-02-19_21-46-08\gerbil_test.json
exp6_agent_full_mini_20,2026-02-19_21-36-35,20,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agent_full_mini_20\2026-02-19_21-36-35\gerbil_test.json
exp6_agent_k10_mini_20,2026-02-19_22-09-53,20,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agent_k10_mini_20\2026-02-19_22-09-53\gerbil_test.json
exp6_agent_marathon_mini_20,2026-02-19_22-16-47,20,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agent_marathon_mini_20\2026-02-19_22-16-47\gerbil_test.json
exp6_agentic_gpt4_5,2026-02-19_17-43-30,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4_5\2026-02-19_17-43-30\gerbil_test.json
exp6_agentic_gpt4_5,2026-02-19_17-44-29,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4_5\2026-02-19_17-44-29\gerbil_test.json
exp6_agentic_gpt4_5,2026-02-19_18-35-10,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4_5\2026-02-19_18-35-10\gerbil_test.json
exp6_agentic_gpt4_5,2026-02-19_18-44-11,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4_5\2026-02-19_18-44-11\gerbil_test.json
exp6_agentic_gpt4_5,2026-02-19_19-05-24,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4_5\2026-02-19_19-05-24\gerbil_test.json
exp6_agentic_gpt4mini_5,2026-02-19_16-54-05,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4mini_5\2026-02-19_16-54-05\gerbil_test.json
exp6_agentic_gpt4mini_5,2026-02-19_16-55-37,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4mini_5\2026-02-19_16-55-37\gerbil_test.json
exp6_agentic_gpt4mini_5,2026-02-19_17-03-03,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4mini_5\2026-02-19_17-03-03\gerbil_test.json
exp6_agentic_gpt4mini_5,2026-02-19_18-27-11,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4mini_5\2026-02-19_18-27-11\gerbil_test.json
exp6_agentic_gpt4mini_5,2026-02-19_19-44-45,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4mini_5\2026-02-19_19-44-45\gerbil_test.json
exp6_agentic_gpt4mini_5,2026-02-19_21-29-11,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_gpt4mini_5\2026-02-19_21-29-11\gerbil_test.json
exp6_agentic_llama_5,2026-02-19_17-12-35,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_llama_5\2026-02-19_17-12-35\gerbil_test.json
exp6_agentic_llama_5,2026-02-19_17-19-07,5,0.0,0.0,0.0,0.0,0,0,outputs\exp6_agentic_llama_5\2026-02-19_17-19-07\gerbil_test.json
exp7_linker_only_gpt4_100,2026-02-14_11-32-18,100,0.0,0.0,0.0,0.0,0,0,outputs\exp7_linker_only_gpt4_100\2026-02-14_11-32-18\gerbil_test.json
exp7_linker_only_gpt4mini_100,2026-02-14_11-01-25,100,0.0,0.0,0.0,0.0,0,0,outputs\exp7_linker_only_gpt4mini_100\2026-02-14_11-01-25\gerbil_test.json
exp7_linker_only_llama_100,2026-02-15_09-54-26,100,0.0,0.0,0.0,0.0,0,0,outputs\exp7_linker_only_llama_100\2026-02-15_09-54-26\gerbil_test.json
exp7_pure_gpt4_100,2026-02-14_11-20-58,100,0.0,0.0,0.0,0.0,0,0,outputs\exp7_pure_gpt4_100\2026-02-14_11-20-58\gerbil_test.json
exp7_pure_gpt4mini_100,2026-02-14_10-46-09,100,0.0,0.0,0.0,0.0,0,0,outputs\exp7_pure_gpt4mini_100\2026-02-14_10-46-09\gerbil_test.json
exp7_pure_llama_100,2026-02-15_10-43-21,100,0.0,0.0,0.0,0.0,0,0,outputs\exp7_pure_llama_100\2026-02-15_10-43-21\gerbil_test.json
exp7_rag_only_gpt4_100,2026-02-14_11-47-48,100,0.0,0.0,0.0,0.0,0,0,outputs\exp7_rag_only_gpt4_100\2026-02-14_11-47-48\gerbil_test.json
exp7_rag_only_gpt4mini_100,2026-02-14_11-10-20,100,0.0,0.0,0.0,0.0,0,0,outputs\exp7_rag_only_gpt4mini_100\2026-02-14_11-10-20\gerbil_test.json
exp7_rag_only_llama_100,2026-02-15_09-35-23,100,0.0,0.0,0.0,0.0,0,0,outputs\exp7_rag_only_llama_100\2026-02-15_09-35-23\gerbil_test.json
param_test,2026-02-17_10-50-21,2,0.0,0.0,0.0,0.0,0,0,outputs\param_test\2026-02-17_10-50-21\gerbil_test.json
param_test,2026-02-17_10-57-32,2,0.0,0.0,0.0,0.0,0,0,outputs\param_test\2026-02-17_10-57-32\gerbil_test.json
sanity_2q,2026-02-17_16-04-30,2,0.0,0.0,0.0,0.0,0,0,outputs\sanity_2q\2026-02-17_16-04-30\gerbil_test.json
sanity_2q,2026-02-17_16-11-32,2,0.0,0.0,0.0,0.0,0,0,outputs\sanity_2q\2026-02-17_16-11-32\gerbil_test.json
test_0shot_gpt4mini_10,2026-02-17_16-28-32,10,0.0,0.0,0.0,0.0,0,0,outputs\test_0shot_gpt4mini_10\2026-02-17_16-28-32\gerbil_test.json
test_3corr_gpt4mini_10,2026-02-17_16-30-36,10,0.0,0.0,0.0,0.0,0,0,outputs\test_3corr_gpt4mini_10\2026-02-17_16-30-36\gerbil_test.json
test_3samples_gpt4mini_10,2026-02-17_16-32-32,10,0.0,0.0,0.0,0.0,0,0,outputs\test_3samples_gpt4mini_10\2026-02-17_16-32-32\gerbil_test.json
test_5shot_gpt4mini_10,2026-02-17_16-29-44,10,0.0,0.0,0.0,0.0,0,0,outputs\test_5shot_gpt4mini_10\2026-02-17_16-29-44\gerbil_test.json
test_agentic_mini_5,2026-02-19_10-13-06,5,0.0,0.0,0.0,0.0,0,0,outputs\test_agentic_mini_5\2026-02-19_10-13-06\gerbil_test.json
test_agentic_mini_5,2026-02-19_10-16-28,5,0.0,0.0,0.0,0.0,0,0,outputs\test_agentic_mini_5\2026-02-19_10-16-28\gerbil_test.json
test_agentic_mini_5,2026-02-19_10-21-03,5,0.0,0.0,0.0,0.0,0,0,outputs\test_agentic_mini_5\2026-02-19_10-21-03\gerbil_test.json
test_cot_gpt4_10,2026-02-17_16-35-37,10,0.0,0.0,0.0,0.0,0,0,outputs\test_cot_gpt4_10\2026-02-17_16-35-37\gerbil_test.json
test_cot_gpt4mini_10,2026-02-17_16-21-30,10,0.0,0.0,0.0,0.0,0,0,outputs\test_cot_gpt4mini_10\2026-02-17_16-21-30\gerbil_test.json
test_cot_llama_10,2026-02-17_16-38-35,10,0.0,0.0,0.0,0.0,0,0,outputs\test_cot_llama_10\2026-02-17_16-38-35\gerbil_test.json
test_decomp_gpt4mini_10,2026-02-17_16-23-22,10,0.0,0.0,0.0,0.0,0,0,outputs\test_decomp_gpt4mini_10\2026-02-17_16-23-22\gerbil_test.json
test_fix,2026-02-17_11-07-45,5,0.0,0.0,0.0,0.0,0,0,outputs\test_fix\2026-02-17_11-07-45\gerbil_test.json
test_nolink_gpt4mini_10,2026-02-17_16-28-03,10,0.0,0.0,0.0,0.0,0,0,outputs\test_nolink_gpt4mini_10\2026-02-17_16-28-03\gerbil_test.json
test_rebel_gpt4mini_10,2026-02-17_16-23-56,10,0.0,0.0,0.0,0.0,0,0,outputs\test_rebel_gpt4mini_10\2026-02-17_16-23-56\gerbil_test.json
test_standard_gpt4_10,2026-02-17_16-35-02,10,0.0,0.0,0.0,0.0,0,0,outputs\test_standard_gpt4_10\2026-02-17_16-35-02\gerbil_test.json
test_standard_gpt4mini_10,2026-02-17_16-19-08,10,0.0,0.0,0.0,0.0,0,0,outputs\test_standard_gpt4mini_10\2026-02-17_16-19-08\gerbil_test.json
test_standard_llama_10,2026-02-17_16-37-39,10,0.0,0.0,0.0,0.0,0,0,outputs\test_standard_llama_10\2026-02-17_16-37-39\gerbil_test.json
